Student ID,Subject ID,Group ID
231,NI0243,1
231,OG0133,1
231,OG0270,1
232,FI0159,2
232,OG0127,2
232,OG0137,5
233,IP0252,1
233,IP0244,3
233,IP0244,3
233,HL0593,4
234,CS0094,1
234,CS0241,3
234,CS0240,3
234,CS0067,12
234,CS0236,1
234,CS0061,2
235,DE0132,3
235,DE0136,3
235,DE0133,2
235,HL0550,2
235,DE0121,1
236,ST0256,2
236,CM0050,1
236,CM0426,1
236,CM0081,1
237,ID0602,620
237,PT0302,1
237,PT1001,1
238,PT0181,1
238,CT0255,2
238,CT0254,2
238,CT0647,81
238,OG0591,3
239,IC0280,3
239,IC0272,4
239,IC0280,3
239,IC0270,4
239,CM0235,6
239,IC0286,1
239,IC0292,1
240,FI0161,1
240,EC0260,4
240,FI0232,1
240,EC0260,4
240,ST0286,2
240,CO0133,9
241,CM0234,9
241,NI0221,3
241,BU0009,6
241,NI0100,1
241,CM0211,9
242,NI0100,3
242,CM0212,4
242,ME0215,2
242,CO0333,2
243,IP0248,3
243,IM0233,1
243,IP0245,1
243,IP0248,3
243,IP0251,1
243,IP0247,4
243,IP0247,4
244,DE0123,1
244,DE0085,3
244,DE0011,1
244,DE0121,1
245,DE0128,3
245,DE0132,2
245,DE0123,1
245,DE0127,3
245,DE0135,1
246,OG0279,1
246,PS0341,1
246,NI0100,2
246,ME0235,2
247,ID0262,88
247,IP0282,2
247,IP0287,1
248,CM0230,7
248,IC0261,1
248,PR0311,5
248,MU0401,17
248,IP0231,3
248,IP0231,3
248,CM0231,7
249,NI0288,1
249,FI0035,1
249,NI0191,1
249,NI0269,1
250,ID0263,3
250,ID0250,60
250,ME0216,1
250,ID0255,69
251,OG0134,2
251,OG0133,5
251,OG0280,1
251,OG0137,2
252,EC0276,1
252,PT0999,1
253,NI0104,6
253,BU0401,1
253,CM0211,12
253,OG0133,2
253,NI0269,1
254,EC0275,1
254,EC0251,1
254,EC0310,1
254,EC0222,1
255,PT0113,4
255,ME0157,2
255,HL0555,16
255,OG0282,1
256,CS0232,2
256,CS0240,2
256,CS0092,1
257,CO0143,1
258,PT0300,1
258,DE0142,1
258,DE0131,2
258,DE0078,1
259,OG0260,7
259,FI0157,3
259,CO0135,7
260,HL0591,3
260,IC0282,1
260,IC0273,2
260,IC0274,4
260,IC0268,2
260,IC0281,3
260,IC0290,4
261,ME0247,2
261,OG0282,1
261,PT0308,1
262,OG0122,1
263,PT0305,1
263,CS0213,1
263,CS0253,1
